playerID,gameDate,pitch,mph,spinRate,pitcher,batter,evMph,la,distance,zone,pitchCount,inning,pitchResult,paResult,recID,batterID,batterResult,hitType,hitSpeed,videoLink
506433,2023/08/04 0:00,SL,86.5,2865,YU DARVISH,JASON HEYWARD,,,,14,1-0,Top 2,Ball,Jason Heyward pops out to third baseman Manny Machado in foul territory.,184934,518792,pops out,,medium,https://baseballsavant.mlb.com/sporty-videos?playId=03a4ad37-9f83-45b0-b438-90942eb64b7e
506433,2023/08/04 0:00,FC,90.4,2610,YU DARVISH,JASON HEYWARD,,,,14,0-0,Top 2,Ball,Jason Heyward pops out to third baseman Manny Machado in foul territory.,184935,518792,pops out,,medium,https://baseballsavant.mlb.com/sporty-videos?playId=08607c25-023e-407e-bec1-2c3cb8986817
506433,2023/08/04 0:00,ST,82.4,2715,YU DARVISH,DAVID PERALTA,93.5,38,302,8,1-0,Top 1,Hit Into Play,David Peralta flies out to left fielder Juan Soto.,184936,444482,flies out,,medium,https://baseballsavant.mlb.com/sporty-videos?playId=1036be72-3343-4a7a-a0cf-bd0ee412567a
506433,2023/08/04 0:00,FF,95.8,2340,YU DARVISH,DAVID PERALTA,,,,14,0-0,Top 1,Ball,David Peralta flies out to left fielder Juan Soto.,184937,444482,flies out,,medium,https://baseballsavant.mlb.com/sporty-videos?playId=e0c36674-1cc2-4603-bdb9-9be5ceb37d8a
506433,2023/08/04 0:00,KC,80,2630,YU DARVISH,WILL SMITH,59.4,-14,5,14,01月02日,Top 1,Hit Into Play,"Padres challenged (play at 1st), call on the field was overturned: Will Smith grounds out softly, second baseman Ha-Seong Kim to first baseman Jake Cronenworth. Mookie Betts to 2nd.",184938,519293,grounds out,,soft,https://baseballsavant.mlb.com/sporty-videos?playId=17e25629-aba5-4692-87f8-2e0bd699045f
506433,2023/08/04 0:00,FF,96.1,2199,YU DARVISH,WILL SMITH,81.6,50,238,12,01月01日,Top 1,Foul,"Padres challenged (play at 1st), call on the field was overturned: Will Smith grounds out softly, second baseman Ha-Seong Kim to first baseman Jake Cronenworth. Mookie Betts to 2nd.",184939,519293,grounds out,,medium,https://baseballsavant.mlb.com/sporty-videos?playId=5517e4fb-6828-423f-b602-5d558cb55b7d
506433,2023/08/04 0:00,FF,95.2,2162,YU DARVISH,WILL SMITH,,,,14,0-1,Top 1,Ball,"Padres challenged (play at 1st), call on the field was overturned: Will Smith grounds out softly, second baseman Ha-Seong Kim to first baseman Jake Cronenworth. Mookie Betts to 2nd.",184940,519293,grounds out,,soft,https://baseballsavant.mlb.com/sporty-videos?playId=6cea8670-b3fb-4030-9b80-21d5646284be
506433,2023/08/04 0:00,FF,94.9,2324,YU DARVISH,WILL SMITH,88.1,64,180,5,0-0,Top 1,Foul,"Padres challenged (play at 1st), call on the field was overturned: Will Smith grounds out softly, second baseman Ha-Seong Kim to first baseman Jake Cronenworth. Mookie Betts to 2nd.",184941,519293,grounds out,,medium,https://baseballsavant.mlb.com/sporty-videos?playId=6b3fb0b8-4ab8-4103-af3a-29f60fd46d9e
506433,2023/08/04 0:00,FF,96.4,2365,YU DARVISH,FREDDIE FREEMAN,49.8,28,144,3,01月01日,Top 1,Hit Into Play,Freddie Freeman pops out softly to third baseman Manny Machado.,184942,518692,pops out,,soft,https://baseballsavant.mlb.com/sporty-videos?playId=1085ff1b-3844-45da-9624-ac896bac211b
506433,2023/08/04 0:00,SI,95,2220,YU DARVISH,FREDDIE FREEMAN,,,,3,0-1,Top 1,Ball,Freddie Freeman pops out softly to third baseman Manny Machado.,184943,518692,pops out,,soft,https://baseballsavant.mlb.com/sporty-videos?playId=e6889aca-a410-4c46-bfed-bfc462ab1f3d
